unspsc,root_domain,page_url,product_title,brand,eco_friendly,merged_description,product_identifier,intended_industries,applicability,ethical_and_sustainability_practices,materials,ingredients,manufacturing_countries,manufacturing_type,customization,packaging_type,form,quality_standards_and_certifications,miscellaneous_features,production_capacity,price,size,color,purity,energy_efficiency,pressure_rating,power_rating
Valves,cdivalve.com,https://www.cdivalve.com/products/pneumatic-valves/any/any/any/8-or-2-or-1%20--188--,"10"" Valves",,,"""10\"" Valves"" are designed for a variety of industrial applications, including use in pressure washers, air compressors, fire suppression systems, vehicle systems, specialty gas applications, and the agricultural and food & beverage industries. These valves are available in materials such as brass, carbon steel, and stainless steel, catering to diverse industrial needs.",[],"['Manufacturing', 'Industrial']","['Food & Beverage', 'Pressure Washers', 'Vehicle Systems', 'Fire Suppression Systems', 'Agricultural', 'Air Compressors', 'Specialty Gas Applications']",[],"['Stainless Steel', 'Brass', 'Carbon Steel']",[],[],[],[],[],[],[],[],[],[],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '10'}]",[],[],[],[],[]
Hardware and fittings,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/button-tip-nozzles-1/button+fnpt-threads+10k-flex-lance-nozzles,10-40K psi Button Tip Flex Lance Nozzles,,,The 10-40K psi Button Tip Flex Lance Nozzles are designed for high-performance tube cleaning applications. These nozzles are available in various pressure ratings ranging from 10K psi to 40K psi. They are suitable for use with button tip flex lance nozzles and are ideal for cleaning tubes in various industrial settings. The nozzles are priced from $16.92.,[],"['Manufacturing', 'Industrial']","['Fluid Transfer Applications', 'Tube Cleaning']",[],[],[],[],[],[],[],[],[],[],[],"[{'amount': 16.920000076293945, 'currency': 'USD', 'type': 'exact'}]",[],[],[],[],"[{'qualitative': False, 'type': 'min', 'unit': 'psi', 'value': '10.0'}, {'qualitative': False, 'type': 'max', 'unit': 'psi', 'value': '40.0'}]",[]
Carbon steel bars,castlemetals.com,https://www.castlemetals.com/metals/carbon/1018/carbon-1018-bar-flat-2-144/p/1855,1018 Carbon Steel Flat Bar,Castle Metals,,"The 1018 Carbon Steel Flat Bar, identified by item number 1855, is a high-quality flat bar made from carbon steel. This product is available in a flat shape and is cold finished, ensuring a smooth surface finish. The bar is available in lengths ranging from 12.144 inches to 144.000 inches, with a length tolerance of +0.125 - 0.000 inches. The bar is manufactured to meet ASTM A108, UNS G10180, and AISI 1018 specifications, ensuring it adheres to stringent quality standards. The bar weighs 34 pounds per foot, making it a robust and durable choice for various industrial applications. The 1018 Carbon Steel Flat Bar is available in different sizes, including 1/8"" - 10"" for rounds, 1/8"" - 3"" for hexagons, 1/4"" - 6"" for squares, and 1/8"" - 4"" for flats, with widths ranging from 1/4"" to 12"". The tensile strength of the bar is 64 ksi, with a yield strength of 54 ksi and an elongation of 15%. The relative machinability is rated at 70%, indicating its suitability for machining. The chemical composition of the bar includes a carbon content of 15/.20, manganese content of 0.60/.90, phosphorus content of 0.04 MAX, and sulfur content of 0.05 MAX. This product is ideal for applications requiring high strength and durability, and it can be customized with additional cutting options such as cutting in half, thirds, or fourths, or by specifying the desired length. The 1018 Carbon Steel Flat Bar is a versatile and reliable material for various industrial uses, offering excellent mechanical properties and ease of machining.",[],"['Manufacturing', 'Industrial']",['Industrial Applications'],[],['Carbon Steel'],[],[],[],['Customizable with additional cutting options'],[],[],"['ASTM A108', 'AISI 1018', 'UNS G10180']","['Available for Cutting in Half, Thirds, Fourths, or Specified Lengths', 'Chemical Composition: Carbon 15/.20, Manganese 0.60/.90, Phosphorus 0.04 MAX, Sulfur 0.05 MAX', 'Relative Machinability 70%', 'ASTM A108, UNS G10180, AISI 1018 compliant', 'Cold Finished']",[],[],"[{'dimension': 'Length', 'qualitative': False, 'type': 'min', 'unit': 'in', 'value': '120'}, {'dimension': 'Length', 'qualitative': False, 'type': 'max', 'unit': 'in', 'value': '144'}, {'dimension': 'Thickness', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '0.25'}, {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '2.25'}, {'dimension': 'Length', 'qualitative': False, 'type': 'min', 'unit': 'in', 'value': '12.144'}, {'dimension': 'Weight', 'qualitative': False, 'type': 'exact', 'unit': 'lbs', 'value': '34'}]",[],[],[],[],[]
Valves,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+adjustable-handle,10K Air Diverter Valve,,,"The ""Air Diverter Valve"" is a component of the Zero Thrust Style Control Gun, specifically designed to divert air flow in water blasting operations. It is available in various models and configurations to meet different operational needs.",[],"['Manufacturing', 'Industrial']","['medium to high-pressure applications', 'High-Volume Water Blasting Applications', 'water blasting operations']",[],[],[],[],[],['Available in various models and configurations'],[],[],[],"['Available in various models and configurations', 'Zero Thrust Style Control Gun compatible', 'high-volume water blasting applications']",[],[],"[{'dimension': None, 'qualitative': True, 'type': 'exact', 'unit': None, 'value': '10K'}]",[],[],[],"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'medium'}, {'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]",[]
Pneumatic tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+zero-thrust-control-gun+zero-thrust-gun+dump,10K Air Operated Control Gun,,,"The ""Air Operated Control Gun"" is designed for water blasting operations, featuring a 10K size. It is suitable for various applications that require precise control and efficiency.",[],['Manufacturing'],"['water blasting tasks', 'water blasting operations']",[],[],[],[],[],[],[],[],[],[],[],[],"[{'dimension': None, 'qualitative': True, 'type': 'exact', 'unit': None, 'value': '10K'}]",[],[],[],"[{'qualitative': False, 'type': 'exact', 'unit': 'psi', 'value': '10000.0'}]",[]
Explosive loading machinery|Pneumatic tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+20k-double-dump,10K Air Operated,,,"The ""Air Operated Control Gun"" is a control gun that utilizes air operation to manage the blasting process, designed for applications that demand precise control over this process.",[],"['Manufacturing', 'Construction']","['Blasting Process Control', 'Water Blasting']",[],[],[],[],[],[],[],[],[],['manual control'],[],[],[],[],[],[],"[{'qualitative': False, 'type': 'exact', 'unit': 'kPa', 'value': '10000.0'}]",[]
Hardware and fittings|Metal cleaning machinery and supplies|Tube fittings,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/button-tip-nozzles-1/tube-cleaning-nozzles+15k-button+15k-flex-lance+15k-button-tip,10K Button Tip Tube Cleaning Nozzles,,,"The 10K Button Tip Tube Cleaning Nozzles are designed for efficient and precise tube cleaning. These nozzles feature a button tip design, which is easy to install and remove, making them suitable for various cleaning tasks. The 10K rating indicates a pressure range of 10, making them suitable for a range of cleaning applications.",[],"['Cleaning', 'Industrial']",['Tube Cleaning'],[],[],[],[],[],"['Customizable button tip design for efficient cleaning of tubes', 'Designed for efficient tube cleaning applications']",[],[],[],"['Button tip design', 'Easy to install and remove', 'button tip design']",[],[],[],[],[],[],"[{'qualitative': False, 'type': 'exact', 'unit': 'bar', 'value': '10.0'}]",[]
Dispensing tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+zero-thrust-control-gun+40k-dump-gun-with-9-16-hp-barrel,10K Control Gun,,,"A control gun designed for water blasting operations, featuring a 10K control gun mechanism. Ideal for applications requiring precise and efficient operation.",[],"['Manufacturing', 'Water Blasting']","['Water Blasting Operations', 'Water Blasting Applications']",[],[],[],[],[],[],[],[],[],['10K control gun mechanism'],[],[],"[{'dimension': None, 'qualitative': True, 'type': 'exact', 'unit': None, 'value': '10K'}]",[],[],[],[],[]
Valves,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+22k-dump-gun,10K Diverter Valve,,,"The ""Diverter Valve"" is designed for controlling water flow in various applications, featuring a capacity of 10K psi.",[],"['Various Applications', 'Water Blasting', 'Industrial']","['air control applications', 'Pressure Applications', 'water blasting operations']",[],[],[],[],[],[],[],[],[],"['multipurpose', 'ideal for water blasting operations']",[],[],"[{'dimension': None, 'qualitative': True, 'type': 'exact', 'unit': None, 'value': '10K'}]",[],[],[],"[{'qualitative': False, 'type': 'exact', 'unit': 'psi', 'value': '10000.0'}]",[]
Dispensing tools|Pneumatic tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/high-flow-air-diverter-valve+high-volume-air-diverter-valve,10K Double Dump Control Gun,,,The 10K Double Dump Control Gun is a high-volume air diverter valve designed for water blasting operations. It features double dump capability for enhanced control and is suitable for high-pressure applications.,[],['Manufacturing'],"['Water Blasting Operations', 'Controlling Air Flow In Water Blasting Operations']",[],[],[],[],[],[],[],[],[],"['double dump capability', 'zero thrust style design']",[],[],"[{'dimension': None, 'qualitative': True, 'type': 'exact', 'unit': None, 'value': '10K'}]",[],[],[],"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]",[]
Cleaning equipment accessories|Dispensing tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+zero-thrust-control-gun+zero-thrust-gun+high-flow-1-npt,10K Double Dump Handle Assembly,,,"The ""Double Dump Handle Assembly"" is designed for precise control in water blasting operations, specifically for a 10K double dump gun.",[],['Manufacturing'],"['High Flow Water Blasting Operations', 'High Pressure Water Blasting', 'water blasting operations']",[],[],[],[],[],[],[],[],[],"['suitable for high flow water blasting operations', '10K connection']",[],[],[],[],[],[],"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]",[]
Dispensing tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+zero-thrust-control-gun+15k-foot-operated-high-volume-control-gun,10K Dry Shut-Off Gun Handle Assembly,,,The 10K Dry Shut-Off Gun Handle Assembly is a component of the 10K Dry Shut-Off control gun. It is designed to provide a secure and efficient connection for high-pressure water blasting operations.,[],['Manufacturing'],"['Water Blasting Tasks', 'High-Pressure Water Blasting Operations']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]",[]
Dispensing tools|Firearms|Pneumatic tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+22k-adjustable-handle,10K Dump Gun,,,The 10K Dump Gun is a high-pressure dump gun designed for water blasting operations. It features a 10K pressure rating and is suitable for high-volume applications. The gun is air-operated and can be used in various configurations including foot-operated and hand-held styles. It is designed to provide efficient and precise control in water blasting tasks.,[],"['Defense', 'Manufacturing', 'Maintenance', 'Construction']","['Water Blasting Operations', 'Water Blasting', 'zero thrust control guns', 'water blasting operations', 'High Volume Water Blasting Operations']",[],[],[],[],[],['Available in various configurations including foot-operated and hand-held styles'],[],[],[],"['foot-operated', '10K handle', 'Zero Thrust Style Control Gun compatibility', 'zero thrust control capability', 'air-operated', 'hand-held styles']",[],[],[],[],[],[],"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}, {'qualitative': False, 'type': 'exact', 'unit': 'bar', 'value': '10000.0'}]",[]
Dispensing tools|Pneumatic tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/air-actuated-dump-valve,10K Dump Style Control Gun,,,"A 10K dump style control gun designed for water blasting operations. Available in various pressure ratings including 15K, 10K, 20K, 3/8"", 40K, and 9/16"". These guns are used to control air flow in water blasting systems.",[],['Manufacturing'],"['Water Blasting Operations', 'water blasting operations']",[],[],[],[],[],"['Precise control options', 'Designed for various applications requiring precise control and efficiency']",[],[],[],"['10K dump style mechanism', '10K dump style']",[],[],[],[],[],[],"[{'qualitative': False, 'type': 'exact', 'unit': 'psi', 'value': '10000.0'}, {'qualitative': False, 'type': 'min', 'unit': 'bar', 'value': '15.0'}, {'qualitative': False, 'type': 'max', 'unit': 'bar', 'value': '30.0'}]",[]
Dispensing tools|Pneumatic tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+zero-thrust-control-gun+zero-thrust-gun+22k-diverter-valve,10K Foot Gun,,,"The ""Foot Gun"" is designed for water blasting operations, featuring a 10K pressure rating. It is suitable for various applications that require precise control and efficiency.",[],"['Automotive', 'Manufacturing', 'Construction']",['water blasting operations'],[],[],[],[],[],[],[],[],[],[],[],[],"[{'dimension': None, 'qualitative': True, 'type': 'exact', 'unit': None, 'value': '10K'}]",[],[],[],"[{'qualitative': False, 'type': 'exact', 'unit': 'kPa', 'value': '10000.0'}]",[]
Dispensing tools|Pneumatic tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+zero-thrust-control-gun+zero-thrust-gun+1-2-npt-barrel,10K Foot Operated Dump Style Control Gun,,,"The ""Foot Operated Dump Style Control Gun"" is designed for efficient air discharge in water blasting operations, featuring a foot-operated mechanism for ease of use.",[],"['Manufacturing', 'Construction']",['water blasting operations'],[],[],[],[],[],[],[],[],[],"['dump style control', 'foot-operated', 'foot operated']",[],[],"[{'dimension': None, 'qualitative': True, 'type': 'exact', 'unit': None, 'value': '10K'}]",[],[],[],[],[]
Arms and ammunition accessories|Dispensing tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/high-flow-air-diverter-valve+foot-dump-gun,10K Gun Handle,APS Canada,,"The ""Gun Handle"" is a component used in control guns for water blasting operations, designed to facilitate the rapid release of air flow. This feature is essential for maintaining the pressure and flow rate of the water stream.",[],"['Manufacturing', 'Water Blasting', 'Construction', 'Firearms']","['Water Blasting Operations', 'control gun operation', 'control guns', 'Foot-Operated Guns', 'High Flow Applications', 'gun handling', 'Hand-Held Control Guns', 'water blasting operations', 'Ergonomic Control In Water Blasting']",[],[],[],[],[],"['Suitable for various water blasting operations', 'Designed for control guns']",[],[],[],"['high flow applications', 'foot-operated', '10K rating', 'Rapid release of air flow', 'designed for water blasting', 'hand-held control', 'Compatible with 10K Dump Style Control Gun', 'Secure and comfortable grip', 'ergonomic design']",[],[],"[{'dimension': None, 'qualitative': True, 'type': 'exact', 'unit': None, 'value': '10K'}]",[],[],[],"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]",[]
Dispensing tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+zero-thrust-control-gun+15k-dry-shut-off-handle,10K Hand-Held Dump Style Control Gun,"Advanced Pressuresystems, Inc.",,"The 10K Hand-Held Dump Style Control Gun is a control gun handle assembly designed for use with 10K hand-held dump style guns. It is part of a range of control guns offered by Advanced Pressuresystems, Inc. This gun is designed to provide precise control over the water flow, making it suitable for a wide range of industrial and commercial uses.",[],"['Commercial', 'Construction', 'Industrial']","['Precise Control Over Water Flow', 'water blasting operations']",[],[],[],[],[],[],[],[],[],['hand-held dump style mechanism'],[],[],[],[],[],[],[],[]
"Agriculture, forestry and garden handtools|Dispensing tools|Pneumatic tools",advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+zero-thrust-control-gun+40k-double-dump,10K Handle,,,"The ""Handle for 10K control gun"" is a handle designed for a 10K control gun, enhancing ease of use in water blasting operations.",[],"['Manufacturing', 'Firearms']","['High Volume Applications', 'Controlling Air Flow In Water Blasting Operations', 'water blasting operations']",[],[],[],[],[],[],[],[],[],['designed for high volume applications'],[],[],[],[],[],[],"[{'qualitative': False, 'type': 'exact', 'unit': 'psi', 'value': '10000.0'}]",[]
Dispensing tools|Pneumatic tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+15k-dump-gun,10K High Volume Hand-Held Control Gun,,,The 10K High Volume Hand-Held Control Gun is a specialized control gun designed for water blasting operations. It features a 10K air actuated mechanism and is suitable for high-volume applications. This gun is ideal for precise control and is part of the Zero Thrust Style Control Gun collection.,[],"['Automotive', 'Manufacturing', 'Construction']","['Water Blasting Operations', 'water blasting operations']",[],[],[],[],[],"['Designed for water blasting operations', 'High volume mechanism']",[],[],[],"['Zero Thrust Style Control Gun collection', 'designed for water blasting operations', '10K air actuated mechanism', 'high volume mechanism']",[],[],[],[],[],[],[],[]
Profiles,moduasm.co.za,https://moduasm.co.za/product-category/dor_win_ele/hinge/product-category/makerbeam/mb_profiles/mb_profile_clear/,10x10mm Aluminium Profile 400mm – Clear (100146),,,A clear aluminium profile with dimensions of 10x10mm and a length of 400mm. This profile is part of the MakerBeam MB Profiles series and is designed for modular assembly systems. It is priced at R15.19 and there are 51 units in stock.,[],['Manufacturing'],"['construction', 'manufacturing processes', 'Modular Assembly Systems']",[],['Aluminium'],[],[],[],[],[],[],[],"['Designed for modular assembly systems', 'Part of the MakerBeam MB Profiles series']",[],"[{'amount': 15.1899995803833, 'currency': 'ZAR', 'type': 'exact'}]","[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '400'}, {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '10'}, {'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '10'}]",[],[],[],[],[]
